Compound name,LogKp Epidermis (cm/s),LogKp Dermis (cm/s)
2-(Acetylamino)fluorene,-4.66386916519392,-4.071776404
2-Ethylhexyl acrylate,-5.38064787232248,-5.384793515
2-Nitro-p-phenylenediamine,-5.8286907690715,-4.033438628
"2,4-Dichloroacetophenone",-5.41682858737057,-4.980209708
"2,4-Dinitrochlorobenzene",-5.05642514450007,-4.592051977
"2,5-Diaminotoluene",-6.11818234378533,-4.117430431
"3-Methyl-3H-imidazo[4,5-f]quinolin-2-amine",-5.98686609628963,-3.848243089
4-Amino-3-nitrophenol,-5.82302173807575,-4.219416952
4-Bromophenyl isocyanate,-5.30765230203732,-4.627292517
4-Chlorobutyric acid,-5.50903723762736,-3.869575871
4-Methylvaleric acid,-6.35846484566243,-3.663245604
4-Nitro-o-phenylenediamine,-5.68363616409937,-4.597549559
6-Methylcoumarin,-4.88823886191029,-4.727335062
7-Ethoxycoumarin,-4.47545641774989,-2.39940914
Acetophenone,-5.11647394243102,-4.919404957
Basic Red 76 (chloride salt),-6.32804437323331,-4.414781272
Benzoic acid,-4.98136856523135,-3.686890897
Benzophenone,-4.6945240990535,-5.079356192
Benzyl bromide,-5.44832986053594,-4.291015067
Benzylideneacetone,-4.67493625940805,-4.913127495
Butanol,-5.53,-5.681936665
Caffeine,-6.16262058352934,-4.41405089
Cinnamyl alcohol,-5.03520591697824,-4.665940011
Cyclophosphamide monohydrate,-6.0936120336939,-3.831018282
Diethyl maleate,-5.14238666101238,-4.459929571
Diethylene glycol monobutyl ether,-5.72318555132347,-4.37164995
Dimethyl phthalate,-5.20412354030147,-4.143328649
Ethanol,-6.12,-5.614393726
Eugenol,-5.11154646640029,-4.83570926
Geraniol,-4.57031687135612,-4.824490853
HC Red No. 3,-5.87901292474492,-3.228679866
Heptanol,-4.66,-5.759450752
Hexanol,-4.95,-5.8569852
Hydrocortisone,-6.23793853643623,-3.878215901
Hydroquinone,-5.97274509454154,-3.975910705
Ibuprofen,-5.80821043268588,-4.536842354
Isoeugenol,-4.96931159788029,-4.781501689
Methanol,-6.41,-5.434152181
Methoxsalen,-5.51,-5.954677021
Methyl methanesulfonate,-5.62407014255908,-3.853377688
Methylparaben,-5.0592181307701,-3.841993888
Naphthalene,-5.33850464326179,-5.490546251
Nitrobenzene,-4.80012848192523,-4.703047595
Octanol,-4.36,-5.742321425
p-Aminophenol,-4.44288827324741,-4.150462088
p-Chloroaniline,-5.00368129924026,-4.843523476
p-Phenylenediamine,-6.30510692599209,-4.396502842
p-Tolunitrile,-5.06706312428734,-5.021051801
Pentanol,-5.24,-5.777283529
Propanol,-5.82,-5.66756154
Propylparaben,-4.75920840196758,-4.385099691
Resorcinol,-5.91273058137542,-4.676101014
Testosterone,-4.97200921829297,-3.90328439
Tetramethyl thiuram disulfide,-5.44653448080272,-4.434192141
Thioglycolic acid,-5.24509799239444,-4.64885518
trans-Cinnamaldehyde,-4.9406374870105,-4.200717697
trans-Cinnamic acid,-5.87374815759385,-3.867142747
Triclosan,-4.11371972861643,-4.666952382
Vanillin,-5.80273956190242,-4.22184836
Water,-6.48,-5.379863945
