Compound name,LogKp Epidermis (cm/s),LogKp Dermis (cm/s)
"2,4-Dinitrochlorobenzene",-5.079000000000000,-5.102
"2,5-Diaminotoluene",-6.0815,-6.038
2-(Acetylamino)fluorene,-4.695,-4.726
2-Ethylhexyl acrylate,-5.2265,-5.072
2-Nitro-p-phenylenediamine,-5.744,-5.659
"3-Methyl-3H-imidazo[4,5-f]quinolin-2-amine",-6.0015,-6.016
4-Amino-3-nitrophenol,-5.758,-5.693
4-Bromophenyl isocyanate,-5.4545000000000000,-5.601
4-Chlorobutyric acid,-5.518000000000000,-5.527
4-Methylvaleric acid,-6.247,-6.136
4-Nitro-o-phenylenediamine,-5.7010000000000000,-5.718
6-Methylcoumarin,-4.869,-4.85
7-Ethoxycoumarin,-4.27,-4.065
Acetophenone,-5.124500000000000,-5.133
Aflatoxin B1,-7.2315000000000000,-7.2315000000000000
Aminopyrine,-6.481,-6.481
Basic Red 76 (chloride salt),-6.469,-6.61
Benzoic acid,-5.478,-5.933
Benzophenone,-3.4345,-3.3
Benzyl bromide,-5.335000000000000,-5.222
Benzylideneacetone,-4.7845000000000000,-4.894
Bisphenol A,-7.7385,-7.7385
Bisphenol S,-9.141,-9.141
Caffeine,-6.9885,-6.9885
Calcein,-8.046,-8.046
Carbendazim,-6.025,-6.025
Chlorpromazine hydrochloride,-7.899,-7.899
Cinnamyl alcohol,-5.029,-5.023
Citrinin,-6.887,-6.887
Clonidine hydrochloride,-8.117,-8.117
Cyclophosphamide monohydrate,-6.234500000000000,-6.375
Dichlorvos,-4.6155,-4.6155
Diethyl maleate,-5.105,-5.068
Diethylene glycol monobutyl ether,-5.725,-5.727
Dimethyl phthalate,-5.1785,-5.153
Ethanolamine,-7.14,-7.14
Ethyl p-aminobenzoate,-4.697,-4.697
Ethylparaben,-5.413,-5.413
Eugenol,-5.147,-5.182
Fentanyl,-9.065,-9.065
Fumonisin B1,-9.0485,-9.0485
Geraniol,-4.766500000000000,-4.963
HC Red No. 3,-5.977,-6.075
Hydrocortisone,-7.273,-8.214
Ibuprofen,-6.012500000000000,-6.217
Isoeugenol,-5.117,-5.265
Isosorbide 5-mononitrate,-6.959,-6.959
Isosorbide dinitrate,-5.503,-5.503
Lidocaine hydrochloride monohydrate,-7.077500000000000,-7.077500000000000
Methyl methanesulfonate,-5.605500000000000,-5.587
Methyl p-aminobenzoate,-4.735,-4.735
Methylparaben,-5.059,-5.2925
Miconazole,-3.858,-3.858
Naphthalene,-5.4735,-5.608
Nitrobenzene,-4.8255,-4.851
Ochratoxin A,-6.642,-6.642
Papaverine hydrochloride,-6.604,-6.604
Pellitorine,-7.516,-7.516
Pranoprofen,-6.973,-6.973
Progesterone,-7.741,-7.741
Propylene glycol monomethyl ether,-7.571,-7.571
Propylene glycol n-butyl ether,-8.16,-8.16
Propylparaben,-4.759,-5.093500000000000
Resorcinol,-5.8745,-5.836
Simazine,-5.875,-5.875
T-2 toxin,-7.772,-7.772
Testosterone,-4.98,-5.971500000000000
Tetrabromobisphenol A,-6.145,-6.145
Tetramethyl thiuram disulfide,-5.406500000000000,-5.366
Theophylline,-8.065,-8.065
Thioglycolic acid,-5.2165,-5.188
Thymoquinone,-6.459,-6.459
Triclosan,-4.576500000000000,-5.039
Vanillin,-5.7055,-5.608
Water,-6.432,-6.432
Zearalenone,-7.1885000000000000,-7.1885000000000000
n-Butyl p-aminobenzoate,-4.697,-4.697
n-Butylparaben,-5.451,-5.451
n-Propyl p-aminobenzoate,-4.652,-4.652
p-Aminophenol,-5.087,-5.731
p-Chloroaniline,-4.999500000000000,-4.995
p-Phenylenediamine,-6.339,-6.373
p-Tolunitrile,-5.1225000000000000,-5.178
trans-Cinnamaldehyde,-5.0165,-5.092
trans-Cinnamic acid,-5.953000000000000,-6.032
α-Hexabromocyclododecane,-7.222,-7.222
β-Hexabromocyclododecane,-7.389,-7.389
γ-Hexabromocyclododecane,-7.42,-7.42
